tee_id,course_id,tee_name,tee_color,course_par_for_tee,rating,slope,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap
USA-CA-00707-01-01,USA-CA-00707-01,Blue,Blue,70,N/D,N/D,337,171,494,417,523,366,204,408,371,350,363,389,164,524,370,530,184,381,6546,4,3,5,4,5,4,3,4,4,4,4,4,3,5,4,3,3,4,11,17,7,1,13,15,9,3,5,10,4,2,18,14,8,12,16,6
USA-CA-00707-01-02,USA-CA-00707-01,White,White,70,N/D,N/D,328,156,481,392,485,353,196,403,364,343,357,377,154,493,355,512,143,372,6264,4,3,5,4,5,4,3,4,4,4,4,4,3,5,4,3,3,4,11,17,7,1,13,15,9,3,5,10,4,2,18,14,8,12,16,6
USA-CA-00707-01-03,USA-CA-00707-01,Red,Red,70,N/D,N/D,315,137,471,324,467,349,149,394,349,305,342,364,140,434,286,475,101,296,5698,4,3,5,4,5,4,3,4,4,4,4,4,3,5,4,3,3,4,11,17,7,1,13,15,9,3,5,10,4,2,18,14,8,12,16,6
USA-CA-00707-01-04,USA-CA-00707-01,Gold,Gold,70,N/D,N/D,303,137,365,324,426,349,128,311,286,305,283,307,140,434,286,344,101,296,5125,4,3,5,4,5,4,3,4,4,4,4,4,3,5,4,3,3,4,11,17,7,1,13,15,9,3,5,10,4,2,18,14,8,12,16,6
