course_id,club_id,course_name,holes,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00024-01,USA-AL-00024,Brundidge,9,36,Parkland,N/D,1965,Closed,~,~,~,N/D,N/D,USD
USA-AL-00025-01,USA-AL-00025,Burningtree,18,72,Parkland,George Cobb,1964,Closed,~,~,~,Bermuda,Bermuda,USD
USA-AL-00026-01,USA-AL-00026,Cahaba Falls,18,71,Parkland,Bancroft Timmons,1966,Open,20,35,20,N/D,N/D,USD
USA-AL-00027-01,USA-AL-00027,Cane Creek,18,72,Parkland,George Cobb,1942,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00028-01,USA-AL-00028,Canebrake at Piney Creek,18,72,Parkland,Ron Garl,1998,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00029-01,USA-AL-00029,Castle Pines,18,72,Parkland,Mark Gallups,1962,Open,25,31.82,22,N/D,N/D,USD
USA-AL-00031-01,USA-AL-00031,Cherokee,18,71,Parkland,N/D,1969,Open,20,25,20,N/D,N/D,USD
USA-AL-00032-01,USA-AL-00032,Cherokee Ridge,18,72,Parkland,Sammy Dean,1989,Open,49,59,39,Bermuda,Bent,USD
USA-AL-00033-01,USA-AL-00033,Chesley Oaks,18,71,Parkland,Steve Plummer,1996,Open,17,23,17,N/D,N/D,USD
USA-AL-00034-01,USA-AL-00034,Choctaw,9,36,Parkland,N/D,1963,Closed,~,~,~,N/D,N/D,USD
USA-AL-00036-01,USA-AL-00036,Cider Ridge,18,72,Parkland,Bill Bergin,2002,Open,42,52,39,N/D,N/D,USD
USA-AL-00037-01,USA-AL-00037,Mill Creek,18,71,Parkland,N/D,1975,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00038-01,USA-AL-00038,Clanton,9,34,Parkland,N/D,1935,Open,10,14,10,N/D,N/D,USD
USA-AL-00039-01,USA-AL-00039,Clay County Public,9,35,Parkland,N/D,1960,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00040-01,USA-AL-00040,Colonial,18,72,Parkland,Byron Nelson/Joe Finger,1964,Open,19,25,19,Bermuda,Bent,USD
USA-AL-00041-01,USA-AL-00041,Coosa Pines,18,72,Parkland,John LaFoy,1952,Open,16,20,16,N/D,N/D,USD
